task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	brain_outside_pos	pos_dropped
task3	t1w	sub-001	1232.8410	3121	1234.7260	3121	1251.2550	3151	0.0167	0.0036
task3	t1w	sub-002	1374.6610	3414	1379.7040	3424	1388.4000	3449	0.0132	0.0070
task3	t1w	sub-003	1360.7750	3401	1364.5490	3404	1376.8510	3443	0.0137	0.0048
task3	t1w	sub-004	1423.3520	3534	1424.8180	3535	1444.1420	3576	0.0156	0.0023
task3	t1w	sub-005	1432.7480	3578	1438.1830	3581	1454.1030	3616	0.0155	0.0046
task3	t1w	sub-006	1603.8970	3964	1606.9560	3965	1615.9950	3980	0.0101	0.0045
task3	t1w	sub-007	1278.2760	3199	1279.1700	3199	1300.1540	3238	0.0182	0.0021
task3	t1w	sub-008	1417.3070	3517	1419.2960	3517	1437.8910	3547	0.0158	0.0029
task3	t1w	sub-009	1240.6420	3110	1241.0650	3111	1259.8780	3158	0.0173	0.0024
task3	t1w	sub-010	1249.9460	3158	1254.3370	3160	1267.3450	3183	0.0153	0.0051
task3	t1w	sub-011	1272.1620	3181	1273.9690	3182	1285.5440	3206	0.0129	0.0040
task3	t1w	sub-012	1379.9190	3433	1382.6960	3433	1395.3180	3469	0.0129	0.0039
task3	t1w	sub-013	1509.5270	3763	1518.0840	3765	1523.6960	3777	0.0100	0.0063
task3	t1w	sub-014	1437.0660	3590	1438.7490	3590	1457.7220	3627	0.0158	0.0028
task3	t1w	sub-015	1067.6420	2722	1068.8500	2724	1085.4340	2754	0.0193	0.0041
task3	t1w	sub-016	1536.9970	3825	1544.1830	3835	1552.0700	3854	0.0112	0.0062
task3	t1w	sub-017	1352.0710	3395	1360.7370	3401	1371.4350	3429	0.0141	0.0063
task3	t1w	sub-018	1380.6040	3450	1388.7520	3458	1399.5040	3479	0.0140	0.0064
task3	t1w	sub-019	1383.3870	3469	1385.5830	3473	1406.0520	3504	0.0172	0.0027
task3	t1w	sub-020	1365.6620	3421	1369.8780	3429	1386.8150	3466	0.0170	0.0049
task3	t1w	sub-021	1271.8710	3207	1277.2460	3213	1282.4060	3208	0.0120	0.0080
task3	t1w	sub-022	1314.0080	3301	1315.6970	3301	1333.8280	3336	0.0169	0.0033
task3	t1w	sub-023	1421.5220	3555	1425.1940	3558	1439.1890	3575	0.0143	0.0046
task3	t1w	sub-024	1341.8590	3345	1343.2430	3348	1355.5430	3370	0.0132	0.0042
task3	t1w	sub-025	1679.0410	4131	1681.1520	4134	1699.6610	4167	0.0132	0.0023
task3	t1w	sub-026	1366.5110	3417	1367.4280	3418	1382.8860	3439	0.0144	0.0032
task3	t1w	sub-027	1320.2380	3324	1323.9300	3327	1340.7210	3357	0.0166	0.0041
task3	t1w	sub-028	1297.4110	3247	1304.1790	3252	1311.2920	3277	0.0121	0.0068
task3	t1w	sub-029	1354.1190	3393	1355.8340	3394	1372.1690	3433	0.0155	0.0036
task3	t1w	sub-030	1551.7010	3838	1553.9100	3839	1573.0190	3889	0.0159	0.0038
task3	t1w	sub-031	1405.9960	3512	1409.0240	3516	1422.7490	3542	0.0138	0.0042
task3	t1w	sub-032	1384.9830	3459	1386.8960	3459	1399.2940	3490	0.0126	0.0038
task3	t1w	sub-033	1223.8410	3068	1227.2480	3069	1248.5700	3139	0.0208	0.0038
task3	t1w	sub-034	1365.9510	3416	1367.5670	3416	1384.7630	3450	0.0153	0.0030
task3	t1w	sub-035	1568.1900	3881	1571.3030	3881	1584.3130	3905	0.0123	0.0041
task3	t1w	sub-036	1465.1270	3662	1469.8960	3667	1484.2310	3698	0.0144	0.0048
task3	t1w	sub-037	1291.0900	3239	1291.5190	3240	1303.2450	3270	0.0117	0.0027
task3	t1w	sub-038	1442.7410	3602	1445.8090	3605	1456.8270	3620	0.0133	0.0058
task3	t1w	sub-039	1633.2780	4037	1636.2010	4038	1653.5830	4072	0.0144	0.0040
task3	t1w	sub-040	1417.9400	3523	1420.0240	3523	1432.2720	3555	0.0128	0.0043
