task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	label_kvox	thr_label_kept	pos_label_kept	brain_label_kept	brain_outside_pos	pos_dropped
task2	dwi_b1000	sub-01	2000.4110	6914	5840.9560	13155	1389.7910	3456	3.7740	0.9987	1.0000	0.9669	0.0000	0.7621
task2	dwi_b1000	sub-02	1841.4240	5286	7117.4210	15458	1339.2110	3420	13.0020	0.9966	1.0000	0.2070	0.0000	0.8118
task2	dwi_b1000	sub-03	1643.7120	5138	7063.7730	15050	1021.6880	2660	1.1950	1.0000	1.0000	1.0000	0.0000	0.8554
task2	dwi_b1000	sub-04	1760.6580	5161	7040.5420	15241	1309.9260	3320	17.2730	0.9459	1.0000	0.0000	0.0000	0.8139
task2	dwi_b1000	sub-05	1647.5370	4271	6923.9700	14878	1428.4310	3580	8.4950	1.0000	1.0000	0.9078	0.0000	0.7937
task2	dwi_b1000	sub-06	4045.8040	12507	6325.6800	14085	981.0200	2652	0.2940	1.0000	1.0000	0.2823	0.0000	0.8449
task2	dwi_b1000	sub-07	2729.3760	7847	7063.4280	15671	1045.2860	2765	0.5760	1.0000	1.0000	0.8993	0.0000	0.8520
task2	dwi_b1000	sub-08	2410.2870	6761	6502.9200	14396	1047.3900	2791	0.9060	0.9823	1.0000	0.1247	0.0000	0.8389
task2	dwi_b1000	sub-09	2507.1480	7115	7408.7350	15768	1269.8700	3302	0.4570	1.0000	1.0000	0.0000	0.0000	0.8286
task2	dwi_b1000	sub-10	2142.4280	5951	6618.2490	14435	1162.1890	3184	2.9960	0.9907	1.0000	0.1953	0.0000	0.8244
task2	dwi_b1000	sub-11	2726.1460	7798	6472.6110	14374	1173.4740	3021	5.5210	1.0000	1.0000	0.9344	0.0000	0.8187
task2	dwi_b1000	sub-12	2669.7450	7754	6826.2480	15437	1347.7860	3398	0.7330	1.0000	1.0000	0.9441	0.0000	0.8026
task2	dwi_b1000	sub-13	1880.0850	5623	6272.2950	13647	1364.9960	3492	0.3000	0.9467	1.0000	0.4667	0.0001	0.7824
task2	dwi_b1000	sub-14	1661.9870	5192	6220.2030	13570	1087.3260	2836	2.5610	1.0000	1.0000	0.5244	0.0000	0.8252
task2	dwi_b1000	sub-15	1750.8220	5193	6328.6590	13670	560.8550	1833	111.5650	1.0000	1.0000	0.0153	0.0000	0.9114
task2	dwi_b1000	sub-16	1718.4470	5309	6690.3630	13705	1258.5920	3176	0.0720	1.0000	1.0000	0.9028	0.0000	0.8119
task2	dwi_b1000	sub-17	1849.1100	5613	6315.9230	13711	1136.7970	3017	0.4060	1.0000	1.0000	0.8227	0.0000	0.8200
task2	dwi_b1000	sub-18	1904.0170	5083	4921.4770	11521	563.8290	1940	40.9500	1.0000	1.0000	0.0000	0.0000	0.8854
task2	dwi_b1000	sub-19	1772.8190	5327	4790.4620	10692	1386.4390	3471	1.1790	0.9992	1.0000	0.9754	0.0000	0.7106
task2	dwi_b1000	sub-20	1986.3190	4943	5763.7840	12968	712.8840	2106	0.4330	1.0000	1.0000	0.0000	0.0000	0.8763
task2	dwi_b1000	sub-21	1773.7600	5425	4753.2470	10509	1014.1030	2740	32.2910	0.9997	1.0000	0.0000	0.0000	0.7867
task2	dwi_b1000	sub-22	1733.4380	5421	4205.2570	9377	1135.7960	2901	0.4270	1.0000	1.0000	0.9766	0.0000	0.7299
task2	dwi_b1000	sub-23	1480.4430	4397	4208.4850	9765	863.9200	2433	6.0050	0.9872	1.0000	0.0088	0.0000	0.7947
task2	flair	sub-01	3075.4290	7935	5884.3020	13198	1405.7940	3495	3.7740	1.0000	1.0000	0.9417	0.0000	0.7611
task2	flair	sub-02	2612.9080	6716	7145.0120	15585	1406.5470	3497	13.0020	0.9998	1.0000	0.9653	0.0000	0.8031
task2	flair	sub-03	2355.5520	5975	6920.5470	14789	1091.1010	2782	1.1950	1.0000	1.0000	0.9833	0.0000	0.8423
task2	flair	sub-04	2720.0030	7066	7046.4440	15439	1387.6230	3469	17.2730	1.0000	1.0000	0.0000	0.0000	0.8031
task2	flair	sub-05	2294.8030	5926	7089.6780	15524	1413.6430	3547	8.4950	1.0000	1.0000	0.0102	0.0000	0.8006
task2	flair	sub-06	2526.8200	6661	6268.9710	13908	1225.0090	3121	0.2940	1.0000	1.0000	1.0000	0.0000	0.8046
task2	flair	sub-07	2668.0360	6858	6902.3610	15328	1185.8400	2979	0.5760	1.0000	1.0000	1.0000	0.0000	0.8282
task2	flair	sub-08	2816.2080	7211	6421.6640	14034	1416.6450	3573	0.9060	0.9216	1.0000	0.7395	0.0000	0.7794
task2	flair	sub-09	2919.5600	7331	7389.9450	15597	1436.2710	3560	0.4570	1.0000	1.0000	0.7418	0.0000	0.8056
task2	flair	sub-10	2754.8000	7281	6727.8170	15378	1417.9320	3595	2.9960	0.9980	1.0000	0.2280	0.0000	0.7892
task2	flair	sub-11	2698.9380	7002	6760.7170	15486	1320.8180	3293	5.5210	1.0000	1.0000	1.0000	0.0000	0.8046
task2	flair	sub-12	2706.5930	7133	6792.8600	15642	1460.2140	3587	0.7330	1.0000	1.0000	0.8677	0.0000	0.7850
task2	flair	sub-13	2521.7340	6909	6305.0620	13689	1469.2470	3617	0.3000	1.0000	1.0000	0.8767	0.0000	0.7670
task2	flair	sub-14	2609.8100	6595	6320.2010	13732	1209.7420	3028	2.5610	1.0000	1.0000	1.0000	0.0000	0.8086
task2	flair	sub-15	2245.5960	6012	6275.1560	13676	797.3220	2479	111.5650	1.0000	1.0000	0.4569	0.0000	0.8729
task2	flair	sub-16	2327.3230	6554	6744.7680	13855	1312.2280	3267	0.0720	1.0000	1.0000	1.0000	0.0000	0.8054
task2	flair	sub-17	2321.6760	6178	6319.7820	13724	1266.7280	3166	0.4060	1.0000	1.0000	0.8670	0.0000	0.7996
